Wavelength microns, Wavelength bin size microns, Rp/R*, Rp/R* error
0.33,0.04,0.14861,0.00116
0.3825,0.0125,0.14675,0.00109
0.4032,0.0081,0.14592,0.00087
0.4182,0.0069,0.14794931,0.000978802
0.4325,0.0075,0.14621608,0.000868313
0.445,0.005,0.1462005,0.000822345
0.455,0.005,0.14611846,0.000748845
0.465,0.005,0.14540507,0.000729432
0.475,0.005,0.14538501,0.00065267
0.485,0.005,0.1445684,0.000667843
0.495,0.005,0.14572607,0.000674859
0.505,0.005,0.14408849,0.000670287
0.515,0.005,0.14467484,0.000667963
0.525,0.005,0.14564157,0.000733752
0.535,0.005,0.1443579,0.000681671
0.545,0.005,0.14391006,0.000733234
0.555,0.005,0.14636,0.00088
0.565,0.005,0.14592,0.00086
0.5575,0.0075,0.14535231,0.000756783
0.5764,0.0114,0.14583104,0.000493554
0.5893,0.0015,0.14986104,0.001245436
0.5989,0.0081,0.14577379,0.000581872
0.6185,0.0115,0.1455117,0.000607157
0.6375,0.0075,0.1446643,0.000730484
0.6525,0.0075,0.1449087,0.000926806
0.67,0.01,0.14347684,0.00084497
0.695,0.015,0.14378858,0.000510978
0.738,0.028,0.14441604,0.0006007
0.7684,0.0025,0.1475639,0.001186262
0.7905,0.0196,0.14660079,0.00075863
0.83,0.02,0.1456,0.00163
0.875,0.025,0.1453,0.00129
